# 1187, шаг 1: место ПЕЧАТИ кода долга (не первое вхождение имени)
# Снято помощником 2026-09-20. ЗАМЕР, НЕ ВЕРДИКТ.
#
# ЗНАМЕНАТЕЛИ: кодов в базе долга 178; файлов .rs прочитано 109;
# место печати найдено у 166; НЕ найдено у 12.
#
# «Не найдено» значит: код объявлен в базе, но в строковом литерале
# исполнимого кода в форме `[КОД]` не встречается. Это НЕ «мёртвый код»:
# текст может собираться иначе (как у `argbind.rs`, где код приклеивается
# выше по течению). Такие коды идут в отдельную кучу и требуют чтения.

код                                            место печати                                         функция
E_ADDR_OF_NON_LVALUE                           compiler-codegen/src/parser/mod.rs:9094              parse_unary
E_ADDR_OF_REMOVED                              compiler-codegen/src/const_fn_eval.rs:2474           walk_expr
E_AMBIGUOUS_IDENT_PATTERN                      compiler-codegen/src/parser/mod.rs:11002             parse_if
E_AMP_LITERAL                                  compiler-codegen/src/parser/mod.rs:9078              parse_unary
E_AMP_RECORD_LITERAL                           compiler-codegen/src/parser/mod.rs:9058              parse_unary
E_ARRAY_ELEM_NARROW                            compiler-codegen/src/codegen/emit_c.rs:53501         try_emit_typed_vec_literal
E_ARRAY_INDEX_PTR_BANNED                       compiler-codegen/src/parser/mod.rs:9066              parse_unary
E_AUTO_DERIVE_CYCLE                            compiler-codegen/src/protocols/auto_derive.rs:160    diagnostic_message
E_AUTO_DERIVE_UNKNOWN_PROTOCOL                 compiler-codegen/src/protocols/auto_derive.rs:182    diagnostic_message
E_AUTO_DERIVE_UNSUPPORTED_KIND                 compiler-codegen/src/protocols/auto_derive.rs:192    diagnostic_message
E_BAD_FORMAT_SPEC                              compiler-codegen/src/ast/format_spec.rs:260          parse_rich_format_spec
E_BARE_TYPEVAR_NEEDS_PREFIX                    compiler-codegen/src/types/mod.rs:7017               check_fn
E_BINDING_REQUIRES_INIT                        compiler-codegen/src/parser/mod.rs:6746              parse_ro_mut_binding
E_BLOCKING_FN_DECL_MISSING                     compiler-codegen/src/codegen/emit_c.rs:16224         emit_blocking_fn_call
E_BLOCKING_NOGC_ALLOC                          compiler-codegen/src/types/mod.rs:34609              check_capabilities_at
E_BOUND_NOT_PROTOCOL                           compiler-codegen/src/types/mod.rs:29252              check_generic_bound_declarations
E_BOUND_UNKNOWN                                compiler-codegen/src/types/mod.rs:29270              check_generic_bound_declarations
E_CALL_NOT_CALLABLE                            compiler-codegen/src/types/mod.rs:30844              is_callable_local_ty
E_CAST_UNWRAP_REQUIRED                         compiler-codegen/src/types/mod.rs:12018              f1_expr_inner
E_CHANNEL_TYPE_NOT_INSTANTIABLE                compiler-codegen/src/types/mod.rs:6813               channel_bare_type_diag
E_COERCE_EFFECTFUL                             compiler-codegen/src/types/mod.rs:28031              collect_coerce_pairs
E_COERCE_NOT_UNARY                             compiler-codegen/src/types/mod.rs:27877              collect_coerce_pairs
E_COERCE_NOT_ZERO_COST                         compiler-codegen/src/types/mod.rs:28044              collect_coerce_pairs
E_COERCE_ON_PROTOCOL                           compiler-codegen/src/parser/mod.rs:5878              parse_effect_methods
E_COERCE_RECEIVER_FORM_DEFERRED                compiler-codegen/src/types/mod.rs:27892              collect_coerce_pairs
E_CONST_FIELD_IN_LITERAL                       compiler-codegen/src/types/mod.rs:8669               walk_expr
E_CONST_FN_ALLOCATION                          compiler-codegen/src/types/mod.rs:2837               check_const_fn_expr
E_CONST_FN_CLOSURE_ARITY                       compiler-codegen/src/const_fn_closure.rs:650         lambda_params_to_fn_params
E_CONST_FN_CLOSURE_BODY                        compiler-codegen/src/const_fn_closure.rs:531         generate_closure_spec
E_CONST_FN_CLOSURE_EXTERNAL                    compiler-codegen/src/const_fn_closure.rs:626         extract_closure_parts_from_expr
E_CONST_FN_CLOSURE_FIRST_CLASS                 compiler-codegen/src/const_fn_closure.rs:1169        check
E_CONST_FN_CLOSURE_GENERIC_ARITY               compiler-codegen/src/const_fn_closure.rs:1122        rewrite_expr
